,LONG DESCRIPTION,DIAGNOSIS CODE,processed_description,Cluster
1277,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",53190,gastric ulcer unspecified as acute or chronic without mention of hemorrhage or perforation without mention of obstruction,4
1278,Other specified visual disturbances,3688,other specified visual disturbances,3
1279,"Malignant neoplasm of connective and other soft tissue of trunk, unspecified",1717,malignant neoplasm of connective and other soft tissue of trunk unspecified,2
1280,Poisoning by hydantoin derivatives,9661,poisoning by hydantoin derivatives,1
1281,Hernia of unspecified site without mention of obstruction or gangrene,5539,hernia of unspecified site without mention of obstruction or gangrene,4
1282,Acute appendicitis with peritoneal abscess,5401,acute appendicitis with peritoneal abscess,5
1283,Other injury of other sites of trunk,95919,other injury of other sites of trunk,1
1284,Unspecified site of spinal cord injury without evidence of spinal bone injury,9529,unspecified site of spinal cord injury without evidence of spinal bone injury,7
1285,Drug induced neutropenia,28803,drug induced neutropenia,1
1286,"Closed fracture of condyle, femoral",82121,closed fracture of condyle femoral,10
1287,Compression of vein,4592,compression of vein,1
1288,"Multiple and unspecified open wound of lower limb, without mention of complication",8940,multiple and unspecified open wound of lower limb without mention of complication,0
1289,Thoracic spondylosis without myelopathy,7212,thoracic spondylosis without myelopathy,1
1290,Stress fracture of femoral neck,73396,stress fracture of femoral neck,10
1291,"Combined systolic and diastolic heart failure, unspecified",42840,combined systolic and diastolic heart failure unspecified,3
1292,Malignant neoplasm of supraglottis,1611,malignant neoplasm of supraglottis,2
1293,Poisoning by unspecified sedative or hypnotic,9679,poisoning by unspecified sedative or hypnotic,7
1294,Polyneuropathy due to drugs,3576,polyneuropathy due to drugs,1
1295,Unspecified viral meningitis,0479,unspecified viral meningitis,7
1296,Below knee amputation status,V4975,below knee amputation status,1
1297,Benign neoplasm of parathyroid gland,2271,benign neoplasm of parathyroid gland,2
1298,Neoplasm of unspecified nature of digestive system,2390,neoplasm of unspecified nature of digestive system,2
1299,"Paranoid type schizophrenia, subchronic with acute exacerbation",29533,paranoid type schizophrenia subchronic with acute exacerbation,5
1300,Dermatitis due to drugs and medicines taken internally,6930,dermatitis due to drugs and medicines taken internally,1
1301,"Unspecified adverse effect of other drug, medicinal and biological substance",99529,unspecified adverse effect of other drug medicinal and biological substance,7
1302,Tracheoesophageal fistula,53084,tracheoesophageal fistula,1
1303,Malignant neoplasm of central portion of female breast,1741,malignant neoplasm of central portion of female breast,2
1304,Sprains and strains of other specified sites of knee and leg,8448,sprains and strains of other specified sites of knee and leg,3
1305,Heartburn,7871,heartburn,1
1306,Closed fracture of eight or more ribs,80708,closed fracture of eight or more ribs,10
1307,"Other specified gastritis, without mention of hemorrhage",53540,other specified gastritis without mention of hemorrhage,3
1308,Malignant neoplasm of cheek mucosa,1450,malignant neoplasm of cheek mucosa,2
1309,"Unspecified osteomyelitis, hand",73024,unspecified osteomyelitis hand,7
1310,Other nonspecific findings on examination of blood,79099,other nonspecific findings on examination of blood,1
1311,"Subarachnoid hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",85200,subarachnoid hemorrhage following injury without mention of open intracranial wound unspecified state of consciousness,0
1312,Aneurysm of iliac artery,4422,aneurysm of iliac artery,1
1313,"Migraine, unspecified, without mention of intractable migraine with status migrainosus",34692,migraine unspecified without mention of intractable migraine with status migrainosus,1
1314,Foreign body in anus and rectum,937,foreign body in anus and rectum,1
1315,Malignant neoplasm of lateral wall of urinary bladder,1882,malignant neoplasm of lateral wall of urinary bladder,2
1316,Acute mastoiditis without complications,38300,acute mastoiditis without complications,5
1317,"Heart disease, unspecified",4299,heart disease unspecified,3
1318,Poisoning by central nervous system muscle-tone depressants,9680,poisoning by central nervous system muscletone depressants,1
1319,"Late effects of cerebrovascular disease, aphasia",43811,late effects of cerebrovascular disease aphasia,3
1320,"Neoplasm of uncertain behavior of trachea, bronchus, and lung",2357,neoplasm of uncertain behavior of trachea bronchus and lung,2
1321,"Pyogenic arthritis, shoulder region",71101,pyogenic arthritis shoulder region,1
1322,Angiodysplasia of intestine with hemorrhage,56985,angiodysplasia of intestine with hemorrhage,1
1323,"Tracheostomy complication, unspecified",51900,tracheostomy complication unspecified,7
1324,Attention to tracheostomy,V550,attention to tracheostomy,1
1325,"Toxic effect of unspecified substance, chiefly nonmedicinal as to source",9899,toxic effect of unspecified substance chiefly nonmedicinal as to source,7
1326,Sebaceous cyst,7062,sebaceous cyst,1
1327,Other hyperparathyroidism,25208,other hyperparathyroidism,1
1328,Aspergillosis,1173,aspergillosis,1
1329,"Food poisoning, unspecified",0059,food poisoning unspecified,7
1330,Benign paroxysmal positional vertigo,38611,benign paroxysmal positional vertigo,1
1331,"Other threatened labor, unspecified as to episode of care or not applicable",64410,other threatened labor unspecified as to episode of care or not applicable,7
1332,Poisoning by skeletal muscle relaxants,9752,poisoning by skeletal muscle relaxants,1
1333,"Subdural hemorrhage following injury without mention of open intracranial wound, with moderate [1-24 hours] loss of consciousness",85223,subdural hemorrhage following injury without mention of open intracranial wound with moderate 124 hours loss of consciousness,0
1334,"Malignant neoplasm of esophagus, unspecified site",1509,malignant neoplasm of esophagus unspecified site,2
1335,"Other affections of shoulder region, not elsewhere classified",7262,other affections of shoulder region not elsewhere classified,1
1336,Fitting and adjustment of extracorporeal dialysis catheter,V561,fitting and adjustment of extracorporeal dialysis catheter,1
1337,"Other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness",85301,other and unspecified intracranial hemorrhage following injury without mention of open intracranial wound with no loss of consciousness,0
1338,Other retroperitoneal abscess,56738,other retroperitoneal abscess,1
1339,Explosive personality disorder,3013,explosive personality disorder,1
1340,Senile dementia with delusional features,29020,senile dementia with delusional features,1
1341,"Late effects of cerebrovascular disease, alterations of sensations",4386,late effects of cerebrovascular disease alterations of sensations,3
1342,Trigeminal neuralgia,3501,trigeminal neuralgia,1
1343,Elevated prostate specific antigen [PSA],79093,elevated prostate specific antigen psa,1
1344,Unspecified viral hepatitis C without hepatic coma,07070,unspecified viral hepatitis c without hepatic coma,7
1345,Paraplegia,3441,paraplegia,1
1346,Dissection of coronary artery,41412,dissection of coronary artery,1
1347,Closed fracture of greater tuberosity of humerus,81203,closed fracture of greater tuberosity of humerus,10
1348,"Disorganized type schizophrenia, chronic with acute exacerbation",29514,disorganized type schizophrenia chronic with acute exacerbation,5
1349,Malignant neoplasm of other specified sites of small intestine,1528,malignant neoplasm of other specified sites of small intestine,2
1350,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,2397,neoplasm of unspecified nature of endocrine glands and other parts of nervous system,2
1351,Benign neoplasm of brain,2250,benign neoplasm of brain,2
1352,Cyanosis,7825,cyanosis,1
1353,Unspecified drug-induced mental disorder,2929,unspecified druginduced mental disorder,7
1354,Peritonitis (acute) generalized,56721,peritonitis acute generalized,5
1355,Bunion,7271,bunion,1
1356,Umbilical hernia without mention of obstruction or gangrene,5531,umbilical hernia without mention of obstruction or gangrene,4
1357,"Infection following other infusion, injection, transfusion, or vaccination",99939,infection following other infusion injection transfusion or vaccination,1
1358,Benign neoplasm of ovary,220,benign neoplasm of ovary,2
1359,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled",25042,diabetes with renal manifestations type ii or unspecified type uncontrolled,6
1360,"Chronic pulmonary heart disease, unspecified",4169,chronic pulmonary heart disease unspecified,3
1361,Other diseases of spleen,28959,other diseases of spleen,1
1362,Other chronic pain,33829,other chronic pain,3
1363,Pneumonia due to escherichia coli [E. coli],48282,pneumonia due to escherichia coli e coli,1
1364,Malignant neoplasm of other specified sites of stomach,1518,malignant neoplasm of other specified sites of stomach,2
1365,"Carcinoma in situ, vulva",23332,carcinoma in situ vulva,1
1366,Unspecified prolapse of vaginal walls,61800,unspecified prolapse of vaginal walls,7
1367,"Pressure ulcer, elbow",70701,pressure ulcer elbow,1
1368,Anxiety disorder in conditions classified elsewhere,29384,anxiety disorder in conditions classified elsewhere,1
1369,Sprain of unspecified site of back,8479,sprain of unspecified site of back,7
1370,Contusion of back,92231,contusion of back,1
1371,Metabolic encephalopathy,34831,metabolic encephalopathy,1
1372,"Disruption of wound, unspecified",99830,disruption of wound unspecified,7
1373,Phlebitis and thrombophlebitis of deep veins of upper extremities,45183,phlebitis and thrombophlebitis of deep veins of upper extremities,1
1374,"Vascular dementia, with depressed mood",29043,vascular dementia with depressed mood,1
1375,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",34690,migraine unspecified without mention of intractable migraine without mention of status migrainosus,1
1376,Transient retinal arterial occlusion,36234,transient retinal arterial occlusion,1
1377,Mitral valve stenosis and aortic valve insufficiency,3961,mitral valve stenosis and aortic valve insufficiency,1
1378,"Neoplasm of uncertain behavior of pleura, thymus, and mediastinum",2358,neoplasm of uncertain behavior of pleura thymus and mediastinum,2
